G,G,G,G,G,G,Total Projected Points,Total Projected Ownership,Total Salary,Expected Value (%)
Rico Hoey (42085976),Matt Kuchar (42086001),Shane Lowry (42085951),Max McGreevy (42085967),Mac Meissner (42085969),Keith Mitchell (42085956),455.28,85.07,50000,16.22
Ricky Castillo (42085982),Nicolas Echavarria (42085983),Nicolai Hojgaard (42085955),Rasmus Hojgaard (42085954),Alex Smalley (42085966),Kevin Yu (42085988),447.59,79.52,49400,6.95
Zecheng Dou (42086008),Shane Lowry (42085951),Max McGreevy (42085967),Thorbjorn Olesen (42085964),Jordan L. Smith (42085972),Sami Valimaki (42085977),448.19,73.99,48900,10.5
Rasmus Hojgaard (42085954),Mackenzie Hughes (42085979),Chris Kirk (42085971),Shane Lowry (42085951),Max McGreevy (42085967),Jesper Svensson (42086002),453.29,82.04,50000,0.45
Doug Ghim (42085986),Shane Lowry (42085951),Rasmus Neergaard-Petersen (42085958),Aaron Rai (42085961),Jesper Svensson (42086002),Vince Whaley (42085996),440.9,62.91,49300,3.4
Christiaan Bezuidenhout (42085962),Nicolas Echavarria (42085983),Hao-Tong Li (42085968),Mac Meissner (42085969),Seamus Power (42085978),Michael Thorbjornsen (42085957),442.29,73.99,49000,-26.4
Joel Dahmen (42086005),Billy Horschel (42085997),Shane Lowry (42085951),Mac Meissner (42085969),Aaron Rai (42085961),Vince Whaley (42085996),438.3,62.41,47900,-8.23
Christiaan Bezuidenhout (42085962),Ricky Castillo (42085982),Adrien Dumont De Chassart (42086013),Rasmus Hojgaard (42085954),Shane Lowry (42085951),Sami Valimaki (42085977),448.58,74.48,50000,27.02
Christiaan Bezuidenhout (42085962),Garrick Higgo (42085987),Rasmus Hojgaard (42085954),Shane Lowry (42085951),Chad Ramey (42086007),Kevin Roy (42086000),443.19,65.91,49400,34.28
Mackenzie Hughes (42085979),Hao-Tong Li (42085968),Mac Meissner (42085969),Thorbjorn Olesen (42085964),Jordan L. Smith (42085972),Will Zalatoris (42085965),439.48,62.93,48300,9.06
Steven Fisk (42086006),Mackenzie Hughes (42085979),Tom Kim (42085985),Max McGreevy (42085967),Alex Smalley (42085966),Kevin Yu (42085988),433.79,51.33,45600,3.86
Hao-Tong Li (42085968),Shane Lowry (42085951),Keith Mitchell (42085956),Rasmus Neergaard-Petersen (42085958),John VanDerLaan (42086039),Vince Whaley (42085996),441.8,68.95,49900,-1.43
Rasmus Hojgaard (42085954),Shane Lowry (42085951),Mac Meissner (42085969),John Parry (42085980),Jordan L. Smith (42085972),Kris Ventura (42085994),453.4,76.5,49900,25.31
Nicolas Echavarria (42085983),Nicolai Hojgaard (42085955),Billy Horschel (42085997),Mackenzie Hughes (42085979),Keith Mitchell (42085956),Davis Thompson (42085963),444.78,77.52,49300,-7.41
Ricky Castillo (42085982),Joel Dahmen (42086005),Nicolai Hojgaard (42085955),Takumi Kanaya (42086011),Shane Lowry (42085951),Rasmus Neergaard-Petersen (42085958),447.09,74.98,49800,23.86
Christiaan Bezuidenhout (42085962),Nicolai Hojgaard (42085955),John Keefer (42085973),Tom Kim (42085985),John Parry (42085980),Michael Thorbjornsen (42085957),451.58,89.08,50000,1.62
Rasmus Hojgaard (42085954),Stephan Jaeger (42085981),Chris Kirk (42085971),Aaron Rai (42085961),Davis Thompson (42085963),Gary Woodland (42086003),439.2,64.42,49300,-2.08
Joel Dahmen (42086005),Austin Eckroat (42085991),Garrick Higgo (42085987),Beau Hossler (42086010),Chris Kirk (42085971),Keith Mitchell (42085956),422.9,43.29,45600,-19.69
Zecheng Dou (42086008),Rasmus Hojgaard (42085954),Keith Mitchell (42085956),John Parry (42085980),Alex Smalley (42085966),Will Zalatoris (42085965),447.29,75.5,49900,7.07
Nicolai Hojgaard (42085955),Mac Meissner (42085969),Michael Thorbjornsen (42085957),Matt Wallace (42085984),Daniel Berger (42085960),Adam Hadwin (42086021),445.39,81.53,49600,-9.23
Garrick Higgo (42085987),Nicolai Hojgaard (42085955),Rasmus Neergaard-Petersen (42085958),Alex Smalley (42085966),Gary Woodland (42086003),Daniel Berger (42085960),445.09,71.46,50000,23.19
Zecheng Dou (42086008),Rico Hoey (42085976),Nicolai Hojgaard (42085955),Kristoffer Reitan (42085974),Michael Thorbjornsen (42085957),Daniel Berger (42085960),450.88,89.58,49700,5.57
Rasmus Hojgaard (42085954),Brooks Koepka (42085959),Hao-Tong Li (42085968),Keith Mitchell (42085956),Chad Ramey (42086007),Kris Ventura (42085994),432.2,62.9,50000,-0.83
Rico Hoey (42085976),Nicolai Hojgaard (42085955),Max Homa (42085970),Thorbjorn Olesen (42085964),Alex Smalley (42085966),Sami Valimaki (42085977),448.07,80.52,49300,-11.72
Austin Eckroat (42085991),Rico Hoey (42085976),Nicolai Hojgaard (42085955),Chris Kirk (42085971),Keith Mitchell (42085956),Vince Whaley (42085996),442.98,73.98,48500,-1.15
Hao-Tong Li (42085968),Keith Mitchell (42085956),John Parry (42085980),Gary Woodland (42086003),Will Zalatoris (42085965),Daniel Berger (42085960),440.39,69.96,49200,8.61
Adrien Dumont De Chassart (42086013),Rico Hoey (42085976),Nicolai Hojgaard (42085955),Rasmus Hojgaard (42085954),Mackenzie Hughes (42085979),Michael Thorbjornsen (42085957),452.57,89.58,50000,-10.64
Rasmus Hojgaard (42085954),Rasmus Neergaard-Petersen (42085958),John Parry (42085980),Michael Thorbjornsen (42085957),Matt Wallace (42085984),Kevin Yu (42085988),445.7,70.96,50000,23.95
Michael Brennan (42085992),Nicolai Hojgaard (42085955),Tom Kim (42085985),Thorbjorn Olesen (42085964),Adrien Saddier (42086020),Davis Thompson (42085963),439.98,69.46,47800,30.38
Zecheng Dou (42086008),Hao-Tong Li (42085968),Max McGreevy (42085967),Rasmus Neergaard-Petersen (42085958),Davis Thompson (42085963),Daniel Berger (42085960),445.2,70.47,49800,19.33
Rico Hoey (42085976),Nicolai Hojgaard (42085955),John Keefer (42085973),Keith Mitchell (42085956),Davis Thompson (42085963),Dylan Wu (42086012),450.97,83.04,49500,-5.81
Ricky Castillo (42085982),Hao-Tong Li (42085968),Rasmus Neergaard-Petersen (42085958),Kevin Roy (42086000),Alex Smalley (42085966),Michael Thorbjornsen (42085957),440.4,65.93,49300,2.1
Nicolas Echavarria (42085983),Rasmus Hojgaard (42085954),Mackenzie Hughes (42085979),Tom Kim (42085985),Aaron Rai (42085961),Michael Thorbjornsen (42085957),446.79,78.51,49800,0.36
Emiliano Grillo (42085995),Stephan Jaeger (42085981),Rasmus Neergaard-Petersen (42085958),Kristoffer Reitan (42085974),Will Zalatoris (42085965),Daniel Berger (42085960),435.39,60.4,48800,-4.42
Christiaan Bezuidenhout (42085962),Doug Ghim (42085986),Billy Horschel (42085997),Rasmus Neergaard-Petersen (42085958),Seamus Power (42085978),Alex Smalley (42085966),430.99,50.84,48200,-5.45
