lineup_num,players,salary,projection,mean_payout,roi_pct
100,Nicolai Hojgaard | Kristoffer Reitan | Nicolas Echavarria | Kevin Roy | David Ford | Taylor Moore,48600,238.5,12.62,152.3
101,Ryan Gerard | Rasmus Neergaard-Petersen | Mackenzie Hughes | Zecheng Dou | Sudarshan Yellamaraju | Eric Cole,48000,241.3,16.32,226.4
102,Shane Lowry | Daniel Berger | Michael Brennan | Tom Kim | A.J. Ewart | Hank Lebioda,48500,238.7,13.35,167.0
103,Ryan Gerard | Max McGreevy | Thorbjorn Olesen | Mackenzie Hughes | Sudarshan Yellamaraju | Lee Hodges,49200,243.7,16.06,221.1
104,Davis Thompson | John Parry | Christiaan Bezuidenhout | Matt Wallace | Brooks Koepka | Steven Fisk,48900,238.5,14.02,180.4
105,Shane Lowry | Aaron Rai | Kristoffer Reitan | Billy Horschel | Takumi Kanaya | Dylan Wu,49300,239.2,13.27,165.4
106,Ryan Gerard | Max McGreevy | Christiaan Bezuidenhout | Ricky Castillo | Daniel Brown | Matthieu Pavon,49600,240.8,14.37,187.4
107,Nicolai Hojgaard | Nicolas Echavarria | Billy Horschel | Seamus Power | Chad Ramey | Mark Hubbard,48000,236.2,11.84,136.7
108,Keith Mitchell | Max McGreevy | Max Homa | Austin Eckroat | Sudarshan Yellamaraju | Beau Hossler,48400,240.8,14.36,187.2
109,Shane Lowry | Kristoffer Reitan | Garrick Higgo | Joel Dahmen | Hao-Tong Li | A.J. Ewart,49100,239.7,14.50,189.9
110,Ryan Gerard | Keith Mitchell | Max Homa | Adrien Saddier | Daniel Brown | Chan Kim,49200,242.4,14.69,193.8
111,Rasmus Hojgaard | Alex Smalley | Rasmus Neergaard-Petersen | Thorbjorn Olesen | Austin Eckroat | Matthieu Pavon,49600,240.2,13.49,169.9
112,Nicolai Hojgaard | Daniel Berger | Kevin Roy | Austin Smotherman | William Mouw | Chandler Phillips,48300,239.0,12.97,159.4
113,Shane Lowry | Jordan L. Smith | Kristoffer Reitan | Tom Kim | David Ford | Taylor Moore,48400,239.5,14.26,185.2
114,Shane Lowry | Daniel Berger | Aaron Rai | Emiliano Grillo | Takumi Kanaya | Zachary Bauchou,49800,239.1,14.52,190.4
115,Keith Mitchell | Rasmus Hojgaard | Thorbjorn Olesen | Max Homa | Ricky Castillo | Ben Silverman,49900,241.2,13.43,168.6
116,Ryan Gerard | Davis Thompson | Mackenzie Hughes | Ricky Castillo | Austin Eckroat | Lee Hodges,48700,243.8,16.66,233.2
117,Ryan Gerard | Rasmus Neergaard-Petersen | Brooks Koepka | Adrien Saddier | Daniel Brown | Jackson Suber,49800,238.8,12.84,156.8
118,Shane Lowry | Michael Brennan | Kristoffer Reitan | Nicolas Echavarria | William Mouw | Takumi Kanaya,48300,241.3,16.35,226.9
