Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
4043,Ryan Gerard,Rasmus Hojgaard,Christiaan Bezuidenhout,Mac Meissner,Gary Woodland,Dylan Wu,49700,425.1,3.3,8.32
2589,Ryan Gerard,Alex Smalley,Max McGreevy,Kristoffer Reitan,Mackenzie Hughes,Vince Whaley,48500,427.1,3.4,8.45
10985,Shane Lowry,Ryan Gerard,Keith Mitchell,Eric Cole,Daniel Brown,John VanDerLaan,49800,418.2,18.7,6.21
3559,Ryan Gerard,Alex Smalley,Mac Meissner,Chris Kirk,Rico Hoey,Chad Ramey,48400,425.7,3.6,8.4
149,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Tom Kim,Adrien Dumont De Chassart,Matti Schmid,49900,435.3,-0.7,10.13
1789,Shane Lowry,Ryan Gerard,Christiaan Bezuidenhout,Nicolas Echavarria,Kevin Yu,Dylan Wu,49800,428.5,0.9,9.09
6200,Ryan Gerard,Thorbjorn Olesen,Max McGreevy,Jordan L. Smith,Ricky Castillo,Dylan Wu,48500,422.7,6.6,7.49
148,Ryan Gerard,Nicolai Hojgaard,Michael Thorbjornsen,Matt Wallace,Garrick Higgo,Jesper Svensson,50000,435.3,-0.4,9.93
2973,Shane Lowry,Nicolai Hojgaard,Alex Smalley,Rico Hoey,Emiliano Grillo,Steven Fisk,49300,426.5,7.4,7.75
6018,Ryan Gerard,Rasmus Hojgaard,Kristoffer Reitan,Michael Brennan,Vince Whaley,Gary Woodland,48200,422.9,6.8,7.47
10284,Ryan Gerard,Rasmus Hojgaard,Max McGreevy,Mac Meissner,Webb Simpson,Isaiah Salinda,48700,418.8,11.7,6.92
2082,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Nicolas Echavarria,Matt Wallace,Chad Ramey,49900,428.0,4.9,8.4
5517,Shane Lowry,Keith Mitchell,Rico Hoey,Mackenzie Hughes,Nicolas Echavarria,Dylan Wu,48500,423.4,3.5,8.11
3095,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,John Keefer,Jesper Svensson,William Mouw,49700,426.3,3.5,8.92
2332,Ryan Gerard,Nicolai Hojgaard,Christiaan Bezuidenhout,Kristoffer Reitan,Seonghyeon Kim,Dylan Wu,49300,427.5,1.3,8.95
2907,Ryan Gerard,Nicolai Hojgaard,Will Zalatoris,Chris Kirk,Matt Wallace,Takumi Kanaya,49700,426.6,0.9,9.2
8201,Keith Mitchell,Michael Thorbjornsen,Alex Smalley,Mac Meissner,Kristoffer Reitan,Adrien Saddier,49200,420.8,8.7,7.41
840,Ryan Gerard,Michael Thorbjornsen,Davis Thompson,Max McGreevy,Matt Wallace,Steven Fisk,50000,431.0,5.5,8.53
1388,Ryan Gerard,Nicolai Hojgaard,Chris Kirk,Jordan L. Smith,John Parry,Vince Whaley,49400,429.4,0.3,9.41
1086,Shane Lowry,Nicolai Hojgaard,Davis Thompson,Kristoffer Reitan,Ricky Castillo,Chad Ramey,50000,430.2,6.6,8.06
7983,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Nicolas Echavarria,Takumi Kanaya,Chan Kim,49300,421.0,11.4,6.99
5795,Nicolai Hojgaard,Michael Thorbjornsen,Rasmus Neergaard-Petersen,Max McGreevy,Kevin Yu,Webb Simpson,49900,423.1,8.0,7.87
