Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
10634,Dustin Johnson,Brooks Koepka,Bubba Watson,Brian Harman,Danny Willett,Tyler Strafaci,48100,534.5,51.8,2.74
7433,Dustin Johnson,Justin Thomas,Shane Lowry,Brian Harman,Christiaan Bezuidenhout,Martin Laird,48900,537.0,20.6,4.78
1126,Bryson DeChambeau,Tony Finau,Tyrrell Hatton,Scottie Scheffler,Zach Johnson,Michael Thompson,49600,544.8,8.1,5.55
8627,Dustin Johnson,Bryson DeChambeau,Francesco Molinari,Victor Perez,Danny Willett,Mackenzie Hughes,49200,536.1,25.5,3.52
1842,Dustin Johnson,Patrick Reed,Jason Day,Harris English,Francesco Molinari,Matt Jones,48900,543.3,-0.0,6.42
458,Dustin Johnson,Brooks Koepka,Tyrrell Hatton,Brian Harman,Lanto Griffin,Michael Thompson,48900,547.3,18.1,4.21
4282,Jon Rahm,Patrick Reed,Brooks Koepka,Jason Kokrak,Robert Macintyre,Cheng-Tsung Pan,49300,539.9,9.1,5.21
781,Tony Finau,Webb Simpson,Tyrrell Hatton,Scottie Scheffler,Ian Poulter,Si Woo Kim,48900,545.9,2.6,6.13
263,Dustin Johnson,Tyrrell Hatton,Scottie Scheffler,Sergio Garcia,Lanto Griffin,Matt Jones,49400,548.6,3.6,6.01
6584,Dustin Johnson,Jon Rahm,Adam Scott,Francesco Molinari,Bernd Wiesberger,Tyler Strafaci,49700,537.7,49.4,3.12
7503,Bryson DeChambeau,Xander Schauffele,Brooks Koepka,Victor Perez,Matt Jones,Stewart Cink,49400,537.0,13.1,4.61
2339,Dustin Johnson,Jon Rahm,Christiaan Bezuidenhout,Kevin Kisner,Zach Johnson,Stewart Cink,48300,542.4,8.7,5.2
3789,Dustin Johnson,Xander Schauffele,Tyrrell Hatton,Matt Kuchar,Ryan Palmer,Mackenzie Hughes,50000,540.5,5.8,5.87
7094,Jon Rahm,Brooks Koepka,Scottie Scheffler,Tommy Fleetwood,Ian Poulter,Martin Laird,49700,537.3,28.6,3.72
1065,Dustin Johnson,Tyrrell Hatton,Scottie Scheffler,Harris English,Max Homa,Cheng-Tsung Pan,49600,545.0,9.9,4.92
5317,Dustin Johnson,Bryson DeChambeau,Shane Lowry,Brian Harman,Kevin Kisner,Stewart Cink,48900,538.8,7.4,5.45
3156,Dustin Johnson,Patrick Reed,Hideki Matsuyama,Brian Harman,Ian Poulter,Michael Thompson,48800,541.2,5.8,5.75
3870,Dustin Johnson,Brooks Koepka,Sergio Garcia,Adam Scott,Victor Perez,Robert Macintyre,49700,540.4,7.3,5.55
4341,Dustin Johnson,Rory McIlroy,Matthew Fitzpatrick,Francesco Molinari,Si Woo Kim,Robert Macintyre,50000,539.8,3.9,5.97
5674,Dustin Johnson,Tyrrell Hatton,Hideki Matsuyama,Christiaan Bezuidenhout,Bernd Wiesberger,Zach Johnson,48100,538.4,13.8,4.45
3558,Dustin Johnson,Rory McIlroy,Bubba Watson,Francesco Molinari,Zach Johnson,Brendon Todd,49000,540.7,3.7,5.63
1187,Dustin Johnson,Justin Thomas,Abraham Ancer,Max Homa,Carlos Ortiz,Mackenzie Hughes,49400,544.6,1.2,6.99
5725,Jon Rahm,Collin Morikawa,Harris English,Justin Rose,Christiaan Bezuidenhout,Kevin Kisner,48500,538.4,6.7,5.14
7026,Dustin Johnson,Patrick Cantlay,Lee Westwood,Christiaan Bezuidenhout,Zach Johnson,Martin Laird,49400,537.3,20.3,4.65
