Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
Erik Van Rooyen,21,14.0
Matthew Wolff,20,13.3
Joaquin Niemann,20,13.3
Tony Finau,19,12.7
Webb Simpson,19,12.7
Lanto Griffin,18,12.0
Dustin Johnson,16,10.7
Sebastian Munoz,15,10.0
Viktor Hovland,15,10.0
Billy Horschel,15,10.0
Tyrrell Hatton,14,9.3
Brendon Todd,13,8.7
Louis Oosthuizen,13,8.7
Matthew Fitzpatrick,12,8.0
Scottie Scheffler,10,6.7
Rory McIlroy,9,6.0
Bernd Wiesberger,9,6.0
Adam Scott,9,6.0
Hideki Matsuyama,8,5.3
Sungjae Im,8,5.3
Sebastian Saavedra,7,4.7
Collin Morikawa,7,4.7
Bubba Watson,7,4.7
Kevin Kisner,7,4.7
Jason Kokrak,7,4.7
Sergio Garcia,6,4.0
Eric Axley,6,4.0
Kevin Na,5,3.3
Christiaan Bezuidenhout,5,3.3
Max Homa,5,3.3
Carlos Ortiz,5,3.3
Anirban Lahiri,4,2.7
John Merrick,4,2.7
JC Ritchie,4,2.7
Shane Lowry,4,2.7
Lee Westwood,3,2.0
Chan Kim,3,2.0
Sami Valimaki,3,2.0
Kramer Hickok,3,2.0
Brooks Koepka,3,2.0
Jhonattan Vegas,3,2.0
John Rollins,3,2.0
Cameron Smith,3,2.0
Brad Kennedy,3,2.0
George McNeill,2,1.3
Roberto Castro,2,1.3
J.J. Henry,2,1.3
Ted Purdy,2,1.3
Daniel Chopra,2,1.3
Tommy Gainey,2,1.3
Ricky Barnes,2,1.3
Parker McLachlin,2,1.3
Lucas Herbert,2,1.3
Stephen Stallings Jr.,2,1.3
Carlos Franco,2,1.3
Min Woo Lee,2,1.3
Jason Scrivener,2,1.3
Jason Bohn,2,1.3
David Lingmerth,1,0.7
Ian Poulter,1,0.7
Jason Day,1,0.7
Paul Barjon,1,0.7
Kristoffer Ventura,1,0.7
Derek Ernst,1,0.7
Justin Rose,1,0.7
Brendon De Jonge,1,0.7
Adam Schenk,1,0.7
Sang-Moon Bae,1,0.7
Nelly Korda,1,0.7
Thomas Detry,1,0.7
Donnie Trosper,1,0.7
Andy Sullivan,1,0.7
Peter Uihlein,1,0.7
Matt Kuchar,1,0.7
Robert Garrigus,1,0.7
Cameron Percy,1,0.7
Andres Romero,1,0.7
