Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
2220,Ryan Gerard,Daniel Berger,Davis Thompson,Max McGreevy,Matt Wallace,Takumi Kanaya,49700,426.2,2.7,8.67
3388,Shane Lowry,Michael Thorbjornsen,Thorbjorn Olesen,Garrick Higgo,Michael Brennan,Adrien Dumont De Chassart,48900,424.1,2.9,8.21
4270,Shane Lowry,Ryan Gerard,Alex Smalley,Jesper Svensson,Taylor Moore,Dylan Wu,48600,422.8,7.1,7.42
1808,Shane Lowry,Ryan Gerard,Mac Meissner,Nicolas Echavarria,Kris Ventura,Chad Ramey,49100,427.2,4.9,8.29
925,Ryan Gerard,Nicolai Hojgaard,Michael Thorbjornsen,Doug Ghim,Gary Woodland,Adrien Dumont De Chassart,49500,429.5,-1.4,9.7
6806,Shane Lowry,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Mackenzie Hughes,Adrien Dumont De Chassart,Adam Svensson,49200,419.3,9.6,6.9
3831,Ryan Gerard,Rasmus Hojgaard,Keith Mitchell,Tom Kim,Doug Ghim,Webb Simpson,50000,423.5,7.3,7.87
5829,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Matt Wallace,Daniel Brown,Chandler Phillips,49700,420.6,11.3,6.79
1013,Nicolai Hojgaard,Keith Mitchell,Rasmus Neergaard-Petersen,Mackenzie Hughes,Garrick Higgo,Michael Brennan,49800,429.2,-0.3,9.22
2684,Shane Lowry,Michael Thorbjornsen,Alex Smalley,Chris Kirk,Mackenzie Hughes,Dylan Wu,49600,425.3,0.7,8.94
3670,Ryan Gerard,Daniel Berger,Will Zalatoris,Max McGreevy,Mackenzie Hughes,Adrien Saddier,49400,423.7,4.1,8.74
4333,Shane Lowry,Michael Thorbjornsen,Davis Thompson,Mackenzie Hughes,Matt Wallace,Beau Hossler,49500,422.7,5.9,7.58
4271,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,Mackenzie Hughes,Beau Hossler,Karl Vilips,49900,422.8,2.5,8.17
2602,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,John Keefer,Taylor Moore,Keita Nakajima,49800,425.5,7.1,8.15
2512,Shane Lowry,Rasmus Neergaard-Petersen,Alex Smalley,Jordan L. Smith,Rico Hoey,Kevin Roy,49800,425.6,0.0,8.77
3215,Ryan Gerard,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Max McGreevy,Seonghyeon Kim,Adam Svensson,50000,424.4,3.7,8.36
1914,Ryan Gerard,Keith Mitchell,Rico Hoey,Sami Valimaki,Garrick Higgo,Kris Ventura,48700,426.9,1.5,8.69
233,Ryan Gerard,Rasmus Neergaard-Petersen,Max McGreevy,Rico Hoey,Matt Wallace,Michael Brennan,49200,433.4,-0.8,9.7
3241,Ryan Gerard,Keith Mitchell,Davis Thompson,John Keefer,Matt Wallace,Isaiah Salinda,49400,424.4,2.9,8.38
3174,Ryan Gerard,Keith Mitchell,Max McGreevy,Hao-Tong Li,Chris Kirk,Webb Simpson,49900,424.5,1.9,9.4
2692,Ryan Gerard,Rasmus Neergaard-Petersen,Jordan L. Smith,Kristoffer Reitan,Mackenzie Hughes,John Parry,49300,425.3,0.7,8.61
8762,Shane Lowry,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Jesper Svensson,Joel Dahmen,John VanDerLaan,48800,416.7,18.6,6.13
2633,Shane Lowry,Ryan Gerard,Aaron Rai,Kristoffer Reitan,Seonghyeon Kim,Steven Fisk,50000,425.4,4.0,8.37
1136,Shane Lowry,Ryan Gerard,Rasmus Hojgaard,Michael Brennan,Zecheng Dou,Christo Lamprecht,49600,428.9,4.0,8.61
5181,Ryan Gerard,Nicolai Hojgaard,Mac Meissner,Ricky Castillo,Dylan Wu,Karl Vilips,48200,421.5,3.0,8.17
1204,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Garrick Higgo,Vince Whaley,Lee Hodges,49900,428.6,1.7,8.98
3916,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Davis Thompson,Max McGreevy,Kristoffer Reitan,Chad Ramey,50000,423.3,5.9,7.74
8451,Shane Lowry,Keith Mitchell,Davis Thompson,Mackenzie Hughes,Steven Fisk,Takumi Kanaya,49100,417.2,14.2,6.05

GOLFER EXPOSURE
Golfer,Lineups,Exposure % (of 150)
Ryan Gerard,84,56.0
Shane Lowry,76,50.7
Nicolai Hojgaard,64,42.7
Rasmus Hojgaard,34,22.7
Keith Mitchell,34,22.7
Michael Thorbjornsen,33,22.0
Rico Hoey,28,18.7
Rasmus Neergaard-Petersen,24,16.0
Garrick Higgo,23,15.3
Max McGreevy,23,15.3
Matt Wallace,22,14.7
Mackenzie Hughes,19,12.7
Davis Thompson,19,12.7
Kristoffer Reitan,17,11.3
Michael Brennan,16,10.7
Mac Meissner,16,10.7
Alex Smalley,16,10.7
Vince Whaley,15,10.0
Adrien Saddier,15,10.0
Kris Ventura,14,9.3
Chad Ramey,13,8.7
Ricky Castillo,13,8.7
Jordan L. Smith,13,8.7
Steven Fisk,12,8.0
Dylan Wu,11,7.3
Gary Woodland,10,6.7
Webb Simpson,10,6.7
Jesper Svensson,9,6.0
Matti Schmid,9,6.0
Beau Hossler,9,6.0
Adrien Dumont De Chassart,9,6.0
Chris Kirk,8,5.3
Seonghyeon Kim,8,5.3
Takumi Kanaya,8,5.3
John Parry,8,5.3
Will Zalatoris,8,5.3
Keita Nakajima,8,5.3
Nicolas Echavarria,7,4.7
Tom Kim,7,4.7
Doug Ghim,6,4.0
Kevin Yu,6,4.0
John Keefer,6,4.0
Thorbjorn Olesen,6,4.0
Emiliano Grillo,6,4.0
Mark Hubbard,6,4.0
Daniel Brown,5,3.3
Zecheng Dou,5,3.3
John VanDerLaan,5,3.3
Taylor Moore,5,3.3
Christiaan Bezuidenhout,5,3.3
Daniel Berger,5,3.3
Kevin Roy,4,2.7
Adam Svensson,4,2.7
William Mouw,3,2.0
Chandler Blanchet,3,2.0
Isaiah Salinda,3,2.0
Max Homa,3,2.0
Christo Lamprecht,3,2.0
Davis Riley,3,2.0
Aaron Rai,3,2.0
Hao-Tong Li,3,2.0
Adam Hadwin,3,2.0
Joel Dahmen,3,2.0
Sami Valimaki,3,2.0
Chandler Phillips,3,2.0
Austin Eckroat,2,1.3
Seamus Power,2,1.3
Lee Hodges,2,1.3
Eric Cole,2,1.3
Karl Vilips,2,1.3
David Ford,1,0.7
Carson Young,1,0.7
Chan Kim,1,0.7
Austin Smotherman,1,0.7
Stephan Jaeger,1,0.7
Billy Horschel,1,0.7
Sudarshan Yellamaraju,1,0.7
Zachary Bauchou,1,0.7
