#,G,G,G,G,G,G,Salary,Proj,Mean Payout,ROI%
117,Shane Lowry,Kristoffer Reitan,Michael Brennan,Jordan L. Smith,Emiliano Grillo,Chandler Phillips,"$48,000",242.1,$17.92,+258.4%
118,Rasmus Hojgaard,Max McGreevy,Brooks Koepka,Adrien Saddier,Zecheng Dou,Matthieu Pavon,"$48,500",237.4,$14.91,+198.2%
119,Ryan Gerard,Keith Mitchell,Lee Hodges,Zecheng Dou,Sudarshan Yellamaraju,Daniel Brown,"$48,000",242.3,$18.02,+260.4%
120,Nicolai Hojgaard,Daniel Berger,Kristoffer Reitan,Billy Horschel,William Mouw,Chandler Phillips,"$49,200",239.8,$14.57,+191.5%
121,Daniel Berger,Aaron Rai,Hao-Tong Li,Nicolas Echavarria,Mark Hubbard,Takumi Kanaya,"$49,100",237.1,$13.23,+164.7%
122,Shane Lowry,Hao-Tong Li,Matti Schmid,Jordan L. Smith,Kevin Roy,Garrick Higgo,"$49,200",241.0,$15.21,+204.2%
123,Ryan Gerard,Brooks Koepka,John Parry,Lee Hodges,Matt Wallace,Matthieu Pavon,"$48,400",239.7,$14.07,+181.4%
124,Shane Lowry,Daniel Berger,Nicolas Echavarria,Michael Brennan,Dylan Wu,Adrien Dumont De Chassart,"$49,400",241.5,$15.13,+202.7%
125,Keith Mitchell,Christiaan Bezuidenhout,Max Homa,Ricky Castillo,Beau Hossler,Mackenzie Hughes,"$48,900",241.6,$18.25,+265.1%
126,Ryan Gerard,Rasmus Neergaard-Petersen,Christiaan Bezuidenhout,Jackson Suber,Chan Kim,Matt Wallace,"$49,900",239.9,$14.29,+185.7%
127,Ryan Gerard,Rasmus Neergaard-Petersen,Ricky Castillo,Eric Cole,Steven Fisk,Mackenzie Hughes,"$49,200",241.2,$18.05,+260.9%
128,Daniel Berger,Michael Brennan,Seamus Power,Billy Horschel,Matti Schmid,Austin Smotherman,"$48,000",236.5,$12.02,+140.3%
129,Ryan Gerard,Rasmus Hojgaard,Ricky Castillo,Austin Eckroat,Matt Wallace,Sudarshan Yellamaraju,"$49,000",244.7,$19.14,+282.7%
130,Keith Mitchell,Max McGreevy,John Parry,Ricky Castillo,Lee Hodges,Steven Fisk,"$49,300",240.6,$18.34,+266.8%
131,Shane Lowry,Aaron Rai,Kristoffer Reitan,Seamus Power,Mark Hubbard,Takumi Kanaya,"$49,600",239.1,$14.13,+182.5%
132,Nicolai Hojgaard,Aaron Rai,Kristoffer Reitan,Michael Brennan,Garrick Higgo,Adam Schenk,"$49,300",240.4,$14.56,+191.1%
133,Daniel Berger,Hao-Tong Li,Nicolas Echavarria,Jordan L. Smith,Tom Kim,Emiliano Grillo,"$48,000",239.0,$16.28,+225.5%
134,Ryan Gerard,Rasmus Neergaard-Petersen,Davis Thompson,Beau Hossler,Mackenzie Hughes,Zecheng Dou,"$49,900",243.8,$17.96,+259.3%
135,Davis Thompson,Christiaan Bezuidenhout,John Parry,Max Homa,Ricky Castillo,Matt Wallace,"$48,500",241.4,$19.38,+287.6%
136,Shane Lowry,Hao-Tong Li,Billy Horschel,Austin Smotherman,Garrick Higgo,Zachary Bauchou,"$48,400",237.2,$12.25,+144.9%
137,Rasmus Hojgaard,Brooks Koepka,Thorbjorn Olesen,Max Homa,Austin Eckroat,Ben Silverman,"$48,400",237.5,$13.33,+166.6%
138,Max McGreevy,Rasmus Neergaard-Petersen,Christiaan Bezuidenhout,Alex Smalley,Daniel Brown,Ben Silverman,"$48,600",236.5,$13.32,+166.4%
139,Nicolai Hojgaard,Daniel Berger,Taylor Moore,Garrick Higgo,William Mouw,Adrien Dumont De Chassart,"$48,000",238.6,$14.28,+185.6%
140,Shane Lowry,Aaron Rai,Seamus Power,Taylor Moore,Tom Kim,A.J. Ewart,"$49,300",237.2,$12.92,+158.3%
141,Nicolai Hojgaard,Kristoffer Reitan,Michael Brennan,Taylor Moore,Kevin Roy,Pontus Nyholm,"$48,000",236.8,$12.03,+140.6%
142,Shane Lowry,Nicolai Hojgaard,Kristoffer Reitan,Tom Kim,David Ford,Hank Lebioda,"$50,000",240.7,$12.67,+153.5%
143,Shane Lowry,Aaron Rai,Michael Brennan,Kevin Roy,Carson Young,Takumi Kanaya,"$48,900",239.7,$15.23,+204.5%
144,Nicolai Hojgaard,Hao-Tong Li,Michael Brennan,Taylor Moore,Garrick Higgo,David Ford,"$48,700",238.9,$12.94,+158.8%
145,Ryan Gerard,Rasmus Hojgaard,Max Homa,Beau Hossler,Mackenzie Hughes,Matt Wallace,"$49,600",245.7,$20.25,+305.0%
146,Hao-Tong Li,Kristoffer Reitan,Nicolas Echavarria,Michael Brennan,Seamus Power,Matti Schmid,"$48,100",237.6,$13.96,+179.3%
147,Rasmus Hojgaard,Christiaan Bezuidenhout,Alex Smalley,John Parry,Austin Eckroat,Sudarshan Yellamaraju,"$49,200",241.5,$19.48,+289.7%
148,Max McGreevy,Brooks Koepka,Christiaan Bezuidenhout,Lee Hodges,Adrien Saddier,Mackenzie Hughes,"$48,400",238.1,$15.16,+203.3%
149,Ryan Gerard,Keith Mitchell,John Parry,Austin Eckroat,Steven Fisk,Chan Kim,"$49,900",242.7,$16.37,+227.4%
150,Ryan Gerard,Davis Thompson,Alex Smalley,Adrien Saddier,Zecheng Dou,Daniel Brown,"$48,700",242.5,$18.23,+264.5%

EXPOSURE SUMMARY,,,,,
Player,Salary,Projection,Count,Exposure %,DK ID
Ryan Gerard,"$10,500",44.3,39,26.0%,42130703
Shane Lowry,"$10,800",43.3,31,20.7%,42130702
Nicolai Hojgaard,"$10,300",42.7,29,19.3%,42130704
Keith Mitchell,"$9,900",42.5,29,19.3%,42130705
Mackenzie Hughes,"$7,100",40.4,28,18.7%,42130756
Michael Brennan,"$7,900",40.9,25,16.7%,42130724
John Parry,"$8,100",40.4,25,16.7%,42130721
Rasmus Hojgaard,"$9,700",42.1,24,16.0%,42130706
Davis Thompson,"$8,900",40.9,24,16.0%,42130713
Matt Wallace,"$7,000",40.0,23,15.3%,42130759
Max Homa,"$7,900",40.3,23,15.3%,42130725
Daniel Berger,"$9,600",41.0,23,15.3%,42130707
Alex Smalley,"$8,600",40.5,22,14.7%,42130716
Jordan L. Smith,"$7,500",40.4,22,14.7%,42130738
Austin Eckroat,"$7,200",39.6,22,14.7%,42130749
Max McGreevy,"$9,200",40.9,21,14.0%,42130710
Ricky Castillo,"$7,800",39.8,20,13.3%,42130727
Christiaan Bezuidenhout,"$8,800",40.0,20,13.3%,42130714
Thorbjorn Olesen,"$8,400",40.4,19,12.7%,42130718
Lee Hodges,"$7,200",38.8,19,12.7%,42130751
Zecheng Dou,"$6,900",39.2,19,12.7%,42130762
Kristoffer Reitan,"$8,200",40.3,19,12.7%,42130720
Aaron Rai,"$9,300",40.6,19,12.7%,42130709
Nicolas Echavarria,"$8,000",39.9,18,12.0%,42130722
Garrick Higgo,"$7,200",39.9,17,11.3%,42130750
Adrien Saddier,"$7,100",39.0,16,10.7%,42130755
Rasmus Neergaard-Petersen,"$9,100",40.4,16,10.7%,42130711
Sudarshan Yellamaraju,"$6,800",38.9,16,10.7%,42130770
Daniel Brown,"$6,700",38.6,16,10.7%,42130772
Hao-Tong Li,"$8,700",39.4,16,10.7%,42130715
